"ZONA_TERRITORIAL","FACTOR_EXPANSION","DPTO","SEXO","EDAD","PARENTESCO_JEFE_DE_HOGAR","MADRE_RESIDE_HOGAR","PADRE_RESIDE_HOGAR","SE_CONSIDERA_CAMPESINO","COMUNIDAD_ES_CAMPESINA","ETNIA","ESTADO_CIVIL","AFILIADO_SALUD","LEER_ESCRIBIR","ACTUALMENTE_ESTUDIA","MAYOR_NIVEL_EDUCATIVO","ORIENTACION_SEXUAL","GENERO","ACTIVIDAD_OCUPADA_ULTIMA_SEMANA","TIPO_VIVIENDA","SERVICIOS_ENERGIA_ELECTRICA","ESTRATO_ENERGIA_ELECTRICA","SERVICIOS_GAS_NATURAL","SERVICIOS_ALCANTARILLADO","SERVICIOS_RECOLECCION_BASURAS","SERVICIOS_ACUEDUCTO","NUMERO_HOGARES_VIVIENDA","NUMERO_CUARTOS_VIVIENDA","NUMERO_CUARTOS_DORMIR","TIPO_SANITARIO","COMO_ELIMINA_BASURA","DONDE_OBTIENE_AGUA","DONDE_PREPARA_ALIMENTOS","TIPO_OCUPACION_VIVIENDA","HOGAR_TIENE_CUENTA_CORRIENTE","HOGAR_TIENE_CUENTA_AHORROS","HOGAR_TIENE_CDT","HOGAR_TIENE_PRESTAMO_COMPRA_VIVIENDA","HOGAR_TIENE_PRESTAMO_COMPRA_VEHICULO","HOGAR_TIENE_PRESTAMO_LIBRE_INVERSION","HOGAR_TIENE_TARJETA_CREDITO","NUMERO_PERSONAS_HOGAR","DISCAPACIDAD","Adjusted_Weight"
"Cabecera","166.865394","CAUCA","Femenino","23","Hermano(a) o hermanastro(a)","No","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Hombres","Mujer","1","Otra vivienda (carpa,  vagon, embarcacion, cueva, refugio natural, etc.)","Si","Bajo - Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","No","No","No","No","No","No","2","Sin discapacidad",100.521321686747
"Cabecera","867.49652885","ANTIOQUIA","Femenino","28","Hijo(a), hijastro(a)","Si","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Hombres","Mujer","1","Apartamento","Si","Bajo - Bajo","Si","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","No","No","9","Sin discapacidad",522.588270391566
"Cabecera","140.23264402","HUILA","Masculino","23","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Mujeres","Hombre","1","Casa","Si","Bajo","Si","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","No","No","4","Sin discapacidad",84.4774963975904
"Cabecera","156.95869077","QUINDIO","Masculino","26","Jefe (a) del hogar","No","Fallecido","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","0","Apartamento","Si","Bajo - Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","Si","Si","4","Sin discapacidad",94.5534281746988
"Cabecera","125.26823856","VALLE","Masculino","19","Jefe (a) del hogar","No","No","No","No","Otra etnia","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","3","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","2","Sin discapacidad",75.462794313253
"Cabecera","4462.8608785","ANTIOQUIA","Femenino","25","Otro pariente","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Tecnica profesional","Hombres","Mujer","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","5","4","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","7","Sin discapacidad",2688.47040873494
"Cabecera","232.91430155","MAGDALENA","Masculino","27","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Casa","Si","Bajo - Bajo","Si","No","Si","Si","1","3","2","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","No","No","No","No","No","No","5","Sin discapacidad",140.309820210843
"Cabecera","235.30993492","NORTE DE SANTANDER","Masculino","22","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","No sabe, no informa","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Apartamento","Si","Bajo - Bajo","No","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","3","Sin discapacidad",141.752972843373
"Cabecera","897.34416559","RISALRALDA","Femenino","27","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Basica secundaria (6o - 9o)","Hombres","Mujer","1","Apartamento","Si","Bajo - Bajo","No","Si","Si","Si","1","2","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","4","Sin discapacidad",540.568774451807
"Resto","909.13760513","SUCRE","Masculino","23","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Mujeres","Hombre","1","Casa","Si","Bajo - Bajo","No","No","No","No","1","3","2","Inodoro conectado a pozo septico","La queman o entierran","De pozo sin bomba, aljibe, jaguey o barreno","En un patio, corredor, enramada, al aire libre?","Propia, totalmente pagada","No","No","No","No","No","No","No","3","Discapacidad leve",547.67325610241
"Cabecera","280.77149916","CESAR","Femenino","21","Jefe (a) del hogar","Si","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Media academica (Bachillerato clasico)","Hombres","Mujer","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","1","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","3","Sin discapacidad",169.139457325301
"Resto","1863.5318434","MAGDALENA","Femenino","21","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Hombres","Mujer","1","Casa","Si","Bajo - Bajo","No","No","Si","Si","1","3","2","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Posesion sin titulo","No","Si","No","No","No","No","No","4","Sin discapacidad",1122.60954421687
"Cabecera","591.13240229","META","Masculino","25","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Hombres","Hombre","0","Casa","Si","Conexion Pirata","No","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Posesion sin titulo","No","No","No","No","No","No","No","5","Sin discapacidad",356.103856801205
"Cabecera","2854.2184312","BOGOTA","Masculino","25","Otro pariente","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Tecnica profesional","Mujeres","Hombre","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","7","Sin discapacidad",1719.40869349398
"Cabecera","206.72979512","RISALRALDA","Masculino","25","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Mujeres","Hombre","1","Casa","Si","Medio - Bajo","Si","Si","Si","Si","1","6","5","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","5","Sin discapacidad",124.536021156627
"Cabecera","3305.7877289","ANTIOQUIA","Masculino","24","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Universitaria","Mujeres","Hombre","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","Si","2","Sin discapacidad",1991.43839090361
"Resto","392.99234893","ANTIOQUIA","Femenino","20","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Hombres","Mujer","1","Casa","Si","Bajo - Bajo","No","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Si","No","No","No","No","No","3","Sin discapacidad",236.742378873494
"Cabecera","161.05793637","ANTIOQUIA","Femenino","19","Otro pariente","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Hombres","Mujer","1","Casa","Si","Medio - Bajo","No","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","3","Sin discapacidad",97.0228532349398
"Cabecera","1163.0554486","CUNDINAMARCA","Femenino","21","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnologica ","Hombres","Mujer","1","Casa","Si","Medio - Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","Si","Si","4","Sin discapacidad",700.635812409639
"Cabecera","199.10373659","CORDOBA","Femenino","18","No pariente","No","Fallecido","Si","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Basica secundaria (6o - 9o)","Mujeres","Mujer","1","Casa","Si","Bajo","Si","Si","Si","Si","1","3","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","No","No","2","Sin discapacidad",119.942009993976
"Cabecera","337.36617585","SANTANDER","Masculino","28","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Casa","Si","Bajo - Bajo","No","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De otra fuente por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","No","No","No","No","No","No","4","Sin discapacidad",203.232636054217
"Cabecera","442.93442611","NORTE DE SANTANDER","Femenino","24","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Hombres","Mujer","0","Casa","Si","Bajo - Bajo","Si","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","Propia, totalmente pagada","No","Si","No","No","No","No","No","4","Sin discapacidad",266.827967536145
"Cabecera","362.84556491","NORTE DE SANTANDER","Femenino","24","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","No","Universitaria","Ambos sexos","Mujer","1","Casa","Si","Medio","Si","Si","Si","Si","1","4","3","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","5","Sin discapacidad",218.581665608434
"Cabecera","1000.4586019","SUCRE","Masculino","22","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Basica secundaria (6o - 9o)","Mujeres","Hombre","1","Apartamento","Si","Bajo - Bajo","No","No","Si","No","1","2","1","Inodoro conectado a pozo septico","Por recoleccion publica o privada","De otra fuente por tuberia","En una sala comedor sin lavaplatos?","En arriendo o subarriendo","No","No","No","No","No","No","No","2","Sin discapacidad",602.685904759036
"Cabecera","167.06168943","NARINO","Masculino","28","Hijo(a), hijastro(a)","Si","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica primaria (1o - 5o)","Mujeres","Hombre","1","Apartamento","Si","Bajo","No","Si","Si","Si","1","2","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","2","Sin discapacidad",100.639571945783
"Cabecera","33.465851887","SAN ANDRES","Femenino","26","Otro pariente","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnologica ","Hombres","Mujer","1","Casa","Si","Bajo - Bajo","No","No","Si","No","1","4","3","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En una sala comedor con lavaplatos?","Propia, totalmente pagada","No","Si","No","No","No","No","No","6","Sin discapacidad",20.1601517391566
"Resto","928.66981158","CESAR","Masculino","27","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Casa","Si","Bajo - Bajo","Si","Si","Si","Si","1","3","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor sin lavaplatos?","Propia, totalmente pagada","No","No","No","No","No","No","No","4","Sin discapacidad",559.439645530121
"Cabecera","1098.5599232","HUILA","Femenino","28","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Basica secundaria (6o - 9o)","Hombres","Mujer","1","Casa","Si","Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","4","Sin discapacidad",661.78308626506
"Cabecera","8417.7236268","CUNDINAMARCA","Masculino","24","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Basica secundaria (6o - 9o)","Mujeres","Hombre","0","Cuarto (s) en inquilinato","Si","Bajo","Si","Si","Si","Si","1","1","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","3","Sin discapacidad",5070.91784746988
"Cabecera","460.79278535","CESAR","Femenino","23","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Basica primaria (1o - 5o)","Hombres","Mujer","1","Apartamento","Si","Bajo - Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","2","Sin discapacidad",277.586015271084
"Resto","338.79186973","CESAR","Masculino","27","Jefe (a) del hogar","No","No","Si","Si","Negro, mulato (afrodescendiente)","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Casa","Si","Bajo - Bajo","No","Si","Si","Si","1","2","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","Otro","En una sala comedor sin lavaplatos?","En usufructo","No","Si","No","No","No","No","No","2","Sin discapacidad",204.091487789157
"Resto","360.07533224","CAQUETA","Masculino","26","Pareja, esposo(a), conyuge, companero(a)","No","No","Si","Si","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Casa","Si","No sabe o cuenta con Planta Electrica","No","No","No","No","1","3","2","Inodoro conectado a pozo septico","La queman o entierran","De pozo con bomba","En una sala comedor con lavaplatos?","Posesion sin titulo","No","No","No","No","No","No","No","4","Sin discapacidad",216.912850746988
"Cabecera","145.49448215","CAUCA","Masculino","27","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Mujeres","Hombre","1","Apartamento","Si","Bajo","Si","Si","Si","Si","1","2","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","No","No","No","No","No","No","1","Sin discapacidad",87.6472784036145
"Cabecera","1763.9606053","CUNDINAMARCA","Masculino","24","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","1","Apartamento","Si","Medio - Bajo","Si","Si","Si","Si","2","2","1","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","2","Sin discapacidad",1062.62687066265
"Cabecera","50.349935838","CHOCO","Femenino","28","Jefe (a) del hogar","No","No","No","No","Negro, mulato (afrodescendiente)","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Normalista","Hombres","Mujer","1","Casa","Si","Bajo - Bajo","No","No","Si","Si","1","4","3","Inodoro sin conexion","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","No","No","No","No","No","No","5","Sin discapacidad",30.3312866493976
"Cabecera","177.36953563","BOYACA","Femenino","28","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Universitaria","Hombres","Mujer","1","Casa","Si","Medio - Bajo","Si","Si","Si","Si","1","5","4","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","No","No","3","Sin discapacidad",106.849117849398
"Cabecera","136.93938979","GUAVIARE","Femenino","24","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","Si","Universitaria","Hombres","Mujer","1","Casa","Si","Bajo - Bajo","Si","Si","Si","Si","1","5","4","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","Propia, totalmente pagada","Si","No","No","No","No","No","No","5","Sin discapacidad",82.4936083072289
"Cabecera","548.77609002","TOLIMA","Masculino","28","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Mujeres","Hombre","0","Apartamento","Si","Bajo","Si","Si","Si","Si","1","3","2","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Si","No","No","No","No","No","4","Sin discapacidad",330.588006036145
"Cabecera","41.204725972","SAN ANDRES","Masculino","23","Hijo(a), hijastro(a)","Si","No","No","No","Negro, mulato (afrodescendiente)","Esta soltero (a)","Si","Si","No","Tecnologica ","Mujeres","Hombre","1","Casa","Si","Bajo","No","No","Si","No","1","3","2","Inodoro conectado a pozo septico","Por recoleccion publica o privada","Agua embotellada o en bolsa","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Si","No","No","No","No","No","4","Sin discapacidad",24.8221240795181
