DIRECTORIO;ZONA_TERRITORIAL;FACTOR_EXPANSION;DPTO;SEXO;EDAD;PARENTESCO_JEFE_DE_HOGAR;MADRE_RESIDE_HOGAR;PADRE_RESIDE_HOGAR;SE_CONSIDERA_CAMPESINO;COMUNIDAD_ES_CAMPESINA;ETNIA;ESTADO_CIVIL;AFILIADO_SALUD;LEER_ESCRIBIR;ACTUALMENTE_ESTUDIA;MAYOR_NIVEL_EDUCATIVO;ORIENTACION_SEXUAL;GENERO;ACTIVIDAD_OCUPADA_ULTIMA_SEMANA;TIPO_VIVIENDA;SERVICIOS_ENERGIA_ELECTRICA;ESTRATO_ENERGIA_ELECTRICA;SERVICIOS_GAS_NATURAL;SERVICIOS_ALCANTARILLADO;SERVICIOS_RECOLECCION_BASURAS;SERVICIOS_ACUEDUCTO;NUMERO_HOGARES_VIVIENDA;NUMERO_CUARTOS_VIVIENDA;NUMERO_CUARTOS_DORMIR;TIPO_SANITARIO;COMO_ELIMINA_BASURA;DONDE_OBTIENE_AGUA;DONDE_PREPARA_ALIMENTOS;TIPO_OCUPACION_VIVIENDA;HOGAR_TIENE_CUENTA_CORRIENTE;HOGAR_TIENE_CUENTA_AHORROS;HOGAR_TIENE_CDT;HOGAR_TIENE_PRESTAMO_COMPRA_VIVIENDA;HOGAR_TIENE_PRESTAMO_COMPRA_VEHICULO;HOGAR_TIENE_PRESTAMO_LIBRE_INVERSION;HOGAR_TIENE_TARJETA_CREDITO;NUMERO_PERSONAS_HOGAR;DISCAPACIDAD
7309094;Resto;504.49388863;RISALRALDA;Masculino;20;Jefe (a) del hogar;No;No;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo;Si;No;Si;Si;1;1;1;Bajamar;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;Si;2;Sin discapacidad
7309094;Resto;504.49388863;RISALRALDA;Femenino;20;Pareja, esposo(a), conyuge, companero(a);No;Fallecido;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media academica (Bachillerato clasico);Hombres;Mujer;1.0;Casa;Si;Bajo;Si;No;Si;Si;1;1;1;Bajamar;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;Si;2;Sin discapacidad
7309099;Resto;1067.6513753;RISALRALDA;Masculino;23;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo - Bajo;Si;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;No;No;No;No;No;No;5;Sin discapacidad
7309102;Resto;630.61736079;RISALRALDA;Masculino;18;Jefe (a) del hogar;No;No;No;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media tecnica (Bachillerato tecnico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;3;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;2;Sin discapacidad
7309102;Resto;630.61736079;RISALRALDA;Femenino;19;Pareja, esposo(a), conyuge, companero(a);No;No;No;Si;Negro, mulato (afrodescendiente);No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media tecnica (Bachillerato tecnico);Hombres;Mujer;0.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;3;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;2;Sin discapacidad
7309104;Resto;718.79648487;RISALRALDA;Masculino;22;Jefe (a) del hogar;No;Fallecido;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media tecnica (Bachillerato tecnico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo - Bajo;Si;Si;Si;Si;1;2;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309104;Resto;718.79648487;RISALRALDA;Femenino;26;Pareja, esposo(a), conyuge, companero(a);Fallecida;Fallecido;Si;No;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media tecnica (Bachillerato tecnico);Hombres;Mujer;1.0;Apartamento;Si;Bajo - Bajo;Si;Si;Si;Si;1;2;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309107;Resto;640.46600286;RISALRALDA;Masculino;24;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo;No;No;Si;Si;1;4;2;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;Si;No;2;Sin discapacidad
7309110;Resto;420.69553827;RISALRALDA;Femenino;20;Hijo(a), hijastro(a);Si;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media tecnica (Bachillerato tecnico);Hombres;Mujer;1.0;Casa;Si;Bajo;No;No;Si;Si;1;3;3;Inodoro conectado a pozo septico;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;No;No;No;No;No;No;3;Sin discapacidad
7309117;Resto;396.94082149;ANTIOQUIA;Masculino;25;Pareja, esposo(a), conyuge, companero(a);No;No;Si;Si;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;No;Si;No;Basica secundaria (6o - 9o);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;5;Sin discapacidad
7309117;Resto;396.94082149;ANTIOQUIA;Femenino;26;Hijo(a), hijastro(a);Si;Fallecido;Si;Si;Ninguno de los anteriores;Esta separado (a) o divorciado (a);Si;Si;No;Media academica (Bachillerato clasico);Hombres;Mujer;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;5;Sin discapacidad
7309118;Resto;943.89120798;ANTIOQUIA;Masculino;20;Otro pariente;Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Tecnologica ;Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;5;Sin discapacidad
7309119;Resto;398.44083937;ANTIOQUIA;Femenino;26;Hijo(a), hijastro(a);Si;No;Si;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Tecnologica ;Hombres;Mujer;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309119;Resto;398.44083937;ANTIOQUIA;Masculino;18;Hijo(a), hijastro(a);Si;No;Si;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Basica secundaria (6o - 9o);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309120;Resto;627.15817055;ANTIOQUIA;Masculino;27;Pareja, esposo(a), conyuge, companero(a);No;No;No;No;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;No;Si;No;Basica primaria (1o - 5o);Mujeres;Hombre;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;1;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;No;No;No;No;No;No;3;Sin discapacidad
7309124;Resto;392.99234893;ANTIOQUIA;Femenino;20;Hijo(a), hijastro(a);Si;No;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;Si;Universitaria;Hombres;Mujer;1.0;Casa;Si;Bajo - Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309127;Resto;1224.2022046;ANTIOQUIA;Masculino;28;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Universitaria;Mujeres;Hombre;0.0;Casa;Si;Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;No;No;No;No;No;No;6;Sin discapacidad
7309127;Resto;1224.2022046;ANTIOQUIA;Masculino;26;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Casa;Si;Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;No;No;No;No;No;No;6;Sin discapacidad
7309133;Resto;569.36654361;ANTIOQUIA;Femenino;24;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;Si;Universitaria;Hombres;Mujer;1.0;Casa;Si;Bajo;No;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;4;Sin discapacidad
7309136;Resto;819.14342001;ANTIOQUIA;Masculino;26;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;0.0;Casa;Si;Bajo;No;Si;Si;Si;1;4;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;No;No;Si;No;No;No;4;Discapacidad leve
7309142;Cabecera;1448.452602;ANTIOQUIA;Masculino;26;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;Si;Tecnica profesional;Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;No;Si;Si;Si;1;1;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado tambien para dormir?;En arriendo o subarriendo;No;Si;No;No;No;No;No;1;Sin discapacidad
7309144;Cabecera;993.74234428;ANTIOQUIA;Femenino;24;Otro pariente;Fallecida;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Universitaria;Hombres;Mujer;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309149;Cabecera;1448.452602;ANTIOQUIA;Masculino;25;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Hombres;Hombre;1.0;Apartamento;Si;Medio - Bajo;No;Si;Si;Si;1;1;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado tambien para dormir?;En arriendo o subarriendo;No;Si;No;No;No;No;No;1;Sin discapacidad
7309151;Cabecera;1076.4651272;ANTIOQUIA;Masculino;23;Hijo(a), hijastro(a);Si;Si;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo - Bajo;Si;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, la estan pagando;No;Si;No;No;No;No;No;4;Sin discapacidad
7309155;Cabecera;1003.3593059;ANTIOQUIA;Masculino;26;Jefe (a) del hogar;No;No;Si;No;Negro, mulato (afrodescendiente);Esta soltero (a);Si;Si;No;Universitaria;Mujeres;Hombre;0.0;Apartamento;Si;Bajo - Bajo;Si;Si;Si;Si;1;1;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En una sala comedor con lavaplatos?;En arriendo o subarriendo;No;Si;No;No;No;No;No;2;Sin discapacidad
7309158;Cabecera;1476.1370655;ANTIOQUIA;Masculino;26;Otro pariente;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Tecnologica ;Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309159;Cabecera;1221.7568595;ANTIOQUIA;Femenino;24;Jefe (a) del hogar;No;No;No;No;Negro, mulato (afrodescendiente);No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Tecnica profesional;Hombres;Mujer;1.0;Apartamento;Si;Bajo - Bajo;No;Si;Si;Si;1;3;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;4;Discapacidad leve
7309163;Cabecera;1405.7558968;ANTIOQUIA;Masculino;23;Otro pariente;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Tecnica profesional;Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;4;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309165;Cabecera;1062.6021885;ANTIOQUIA;Masculino;19;Jefe (a) del hogar;Si;Fallecido;Si;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;6;Sin discapacidad
7309165;Cabecera;1062.6021885;ANTIOQUIA;Masculino;22;No pariente;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Hombres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;4;3;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;6;Sin discapacidad
7309177;Cabecera;1731.5810888;ANTIOQUIA;Masculino;26;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;4;Sin discapacidad
7309179;Cabecera;1827.6628104;ANTIOQUIA;Masculino;26;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;Esta casado (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;2;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309181;Cabecera;1043.4182845;ANTIOQUIA;Masculino;18;Hijo(a), hijastro(a);Si;Si;Si;Si;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;0.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;7;Sin discapacidad
7309182;Cabecera;1701.1451208;ANTIOQUIA;Masculino;26;Hijo(a), hijastro(a);Si;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;3;Sin discapacidad
7309184;Cabecera;1426.83059;ANTIOQUIA;Masculino;24;Hijo(a), hijastro(a);Si;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Universitaria;Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;2;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En usufructo;No;Si;No;No;No;No;No;5;Sin discapacidad
7309221;Cabecera;964.83453578;ANTIOQUIA;Masculino;27;Hijo(a), hijastro(a);Si;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;Si;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;1;3;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;2;Discapacidad leve
7309222;Cabecera;957.75206475;ANTIOQUIA;Masculino;24;Hijo(a), hijastro(a);No;Si;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;1;2;2;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;Propia, totalmente pagada;No;Si;No;No;No;No;No;2;Sin discapacidad
7309225;Cabecera;913.5665939;ANTIOQUIA;Masculino;25;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;No esta casado(a) y vive en pareja  hace  menos de dos anos;Si;Si;No;Universitaria;Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;1;3;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;2;Sin discapacidad
7309226;Cabecera;1087.2573105;ANTIOQUIA;Masculino;27;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;No;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;2;2;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;No;No;3;Sin discapacidad
7309229;Cabecera;1230.3957349;ANTIOQUIA;Masculino;27;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;Esta soltero (a);Si;Si;No;Universitaria;Mujeres;Hombre;1.0;Apartamento;Si;Medio - Bajo;Si;Si;Si;Si;1;3;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado solo para cocinar?;En arriendo o subarriendo;No;Si;No;No;No;Si;No;1;Sin discapacidad
7309241;Cabecera;1375.8781259;ANTIOQUIA;Masculino;28;Jefe (a) del hogar;No;No;No;No;Ninguno de los anteriores;No esta casado(a) y vive en pareja  hace  menos de dos anos;No;Si;No;Media academica (Bachillerato clasico);Mujeres;Hombre;1.0;Apartamento;Si;Bajo;Si;Si;Si;Si;1;1;1;Inodoro conectado a alcantarillado;Por recoleccion publica o privada;De acueducto por tuberia;En un cuarto usado tambien para dormir?;En arriendo o subarriendo;No;No;No;No;No;No;No;2;Sin discapacidad
