"EDAD","ZONA_TERRITORIAL","DPTO","PARENTESCO_JEFE_DE_HOGAR","MADRE_RESIDE_HOGAR","PADRE_RESIDE_HOGAR","SE_CONSIDERA_CAMPESINO","COMUNIDAD_ES_CAMPESINA","ETNIA","ESTADO_CIVIL","AFILIADO_SALUD","LEER_ESCRIBIR","ACTUALMENTE_ESTUDIA","MAYOR_NIVEL_EDUCATIVO","TIPO_VIVIENDA","ESTRATO_ENERGIA_ELECTRICA","SERVICIOS_GAS_NATURAL","SERVICIOS_ALCANTARILLADO","SERVICIOS_RECOLECCION_BASURAS","SERVICIOS_ACUEDUCTO","TIPO_SANITARIO","COMO_ELIMINA_BASURA","DONDE_OBTIENE_AGUA","DONDE_PREPARA_ALIMENTOS","TIPO_OCUPACION_VIVIENDA","HOGAR_TIENE_TARJETA_CREDITO","DISCAPACIDAD","ACTIVIDAD_OCUPADA_ULTIMA_SEMANA","FACTOR_EXPANSION"
26,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Fallecido","Si","Si","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",396.94082149
20,"Resto","ANTIOQUIA","Otro pariente","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnologica ","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",943.89120798
26,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnologica ","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",398.44083937
18,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Basica secundaria (6o - 9o)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",398.44083937
27,"Resto","ANTIOQUIA","Pareja, esposo(a), conyuge, companero(a)","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Basica primaria (1o - 5o)","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",627.15817055
20,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Casa","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",392.99234893
28,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",1224.2022046
26,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1224.2022046
24,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",569.36654361
26,"Resto","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Casa","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Discapacidad leve","0",819.14342001
26,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Tecnica profesional","Apartamento","Medio - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado tambien para dormir?","En arriendo o subarriendo","No","Sin discapacidad","1",1448.452602
24,"Cabecera","ANTIOQUIA","Otro pariente","Fallecida","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",993.74234428
25,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado tambien para dormir?","En arriendo o subarriendo","No","Sin discapacidad","1",1448.452602
23,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, la estan pagando","No","Sin discapacidad","1",1076.4651272
26,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","Si","No","Negro, mulato (afrodescendiente)","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En una sala comedor con lavaplatos?","En arriendo o subarriendo","No","Sin discapacidad","0",1003.3593059
26,"Cabecera","ANTIOQUIA","Otro pariente","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnologica ","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",1476.1370655
24,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Negro, mulato (afrodescendiente)","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Tecnica profesional","Apartamento","Bajo - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Discapacidad leve","1",1221.7568595
23,"Cabecera","ANTIOQUIA","Otro pariente","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1405.7558968
19,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","Si","Fallecido","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1062.6021885
22,"Cabecera","ANTIOQUIA","No pariente","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1062.6021885
26,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",1731.5810888
26,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta casado (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1827.6628104
18,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","Si","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","0",1043.4182845
26,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1701.1451208
24,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En usufructo","No","Sin discapacidad","1",1426.83059
27,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Discapacidad leve","1",964.83453578
24,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","No","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",957.75206475
25,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",913.5665939
27,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta  casado (a)  y vive en pareja   hace dos anos  o mas","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1087.2573105
27,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1230.3957349
28,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","No","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado tambien para dormir?","En arriendo o subarriendo","No","Sin discapacidad","1",1375.8781259
19,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","No","Si","Si","Tecnica profesional","Casa","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",1213.2021825
27,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Apartamento","Medio","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1358.6894722
22,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",2087.4726298
20,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",2087.4726298
24,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Apartamento","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1701.4688732
20,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1149.9720417
20,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","Si","Si","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1149.9720417
25,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","No","No","No","Ninguno de los anteriores","No esta casado(a) y vive en pareja  hace  menos de dos anos","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1375.8781259
19,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Tecnica profesional","Apartamento","Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",1604.6461354
25,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta separado (a) o divorciado (a)","Si","Si","Si","Tecnica profesional","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","1",1487.813752
28,"Cabecera","ANTIOQUIA","Jefe (a) del hogar","No","Fallecido","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Media academica (Bachillerato clasico)","Apartamento","Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",1478.7313876
18,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Media tecnica (Bachillerato tecnico)","Apartamento","Bajo - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado tambien para dormir?","En usufructo","No","Sin discapacidad","1",1258.1074776
28,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","Si","No","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","No","Universitaria","Casa","Medio - Bajo","Si","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","Propia, totalmente pagada","No","Sin discapacidad","0",3173.2940777
20,"Cabecera","ANTIOQUIA","Hijo(a), hijastro(a)","No","Si","No","No","Ninguno de los anteriores","Esta soltero (a)","Si","Si","Si","Universitaria","Apartamento","Medio - Bajo","No","Si","Si","Si","Inodoro conectado a alcantarillado","Por recoleccion publica o privada","De acueducto por tuberia","En un cuarto usado solo para cocinar?","En arriendo o subarriendo","No","Sin discapacidad","1",3190.602481
