EDAD;NUMERO_CUARTOS_VIVIENDA;NUMERO_CUARTOS_DORMIR;NUMERO_PERSONAS_HOGAR;TIPO_OCUPACION_VIVIENDA;ETNIA;GENERO;ESTADO_CIVIL;ORIENTACION_SEXUAL;ESTRATO_ENERGIA_ELECTRICA;MAYOR_NIVEL_EDUCATIVO;MADRE_RESIDE_HOGAR;PARENTESCO_JEFE_DE_HOGAR;SEXO;DPTO;FACTOR_EXPANSION;ACTIVIDAD_OCUPADA_ULTIMA_SEMANA
27;1;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);No;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;627.15817055;1
20;4;3;3;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;392.99234893;1
28;4;3;6;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1224.2022046;0
26;4;3;6;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1224.2022046;1
24;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;569.36654361;1
26;4;2;4;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;819.14342001;0
26;1;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Tecnica profesional;No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1448.452602;1
24;4;3;3;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Universitaria;Fallecida;Otro pariente;Femenino;ANTIOQUIA;993.74234428;1
25;1;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Hombres;Medio - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1448.452602;1
23;4;3;4;Propia, la estan pagando;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1076.4651272;1
26;1;1;2;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Universitaria;No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1003.3593059;0
26;4;3;3;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Tecnologica ;No;Otro pariente;Masculino;ANTIOQUIA;1476.1370655;1
24;3;3;4;En arriendo o subarriendo;Negro, mulato (afrodescendiente);Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Tecnica profesional;No;Jefe (a) del hogar;Femenino;ANTIOQUIA;1221.7568595;1
23;4;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Tecnica profesional;No;Otro pariente;Masculino;ANTIOQUIA;1405.7558968;1
19;4;3;6;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Jefe (a) del hogar;Masculino;ANTIOQUIA;1062.6021885;1
22;4;3;6;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);No;No pariente;Masculino;ANTIOQUIA;1062.6021885;1
26;3;2;4;En usufructo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1731.5810888;1
26;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta casado (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1827.6628104;1
18;3;2;7;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1043.4182845;0
26;3;2;3;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1701.1451208;1
24;2;2;5;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1426.83059;1
27;3;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;964.83453578;1
24;2;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);No;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;957.75206475;1
25;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Medio - Bajo;Universitaria;No;Jefe (a) del hogar;Masculino;ANTIOQUIA;913.5665939;1
27;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1087.2573105;1
27;3;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Universitaria;No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1230.3957349;1
28;1;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1375.8781259;1
19;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1213.2021825;0
27;4;3;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio;Universitaria;Si;Jefe (a) del hogar;Femenino;ANTIOQUIA;1358.6894722;1
22;6;5;7;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;2087.4726298;1
20;6;5;7;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;2087.4726298;1
24;3;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Bajo;Universitaria;No;Jefe (a) del hogar;Femenino;ANTIOQUIA;1701.4688732;1
20;2;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1149.9720417;1
20;2;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1149.9720417;1
25;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Femenino;ANTIOQUIA;1375.8781259;1
19;3;2;5;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;1604.6461354;0
25;3;2;7;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta separado (a) o divorciado (a);Mujeres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1487.813752;1
28;2;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1478.7313876;1
18;3;2;4;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media tecnica (Bachillerato tecnico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1258.1074776;1
28;3;2;2;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;3173.2940777;0
20;2;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Universitaria;No;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;3190.602481;1
27;6;4;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio;Universitaria;Si;Otro pariente;Masculino;ANTIOQUIA;1126.4697471;1
21;3;2;3;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo - Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;1300.7159082;1
28;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1225.1867121;1
24;1;1;2;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Ninguno;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1276.5043782;1
28;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;No;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1195.3543592;1
26;5;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Medio;Tecnologica ;No;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;867.58134835;1
26;5;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Medio;Postgrado;Si;Hermano(a) o hermanastro(a);Masculino;ANTIOQUIA;867.58134835;1
21;5;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Medio;Media academica (Bachillerato clasico);No;No pariente;Femenino;ANTIOQUIA;867.58134835;1
26;3;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta separado (a) o divorciado (a);Mujeres;Bajo;Media academica (Bachillerato clasico);Si;Jefe (a) del hogar;Masculino;ANTIOQUIA;948.22639493;1
23;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1088.3882834;1
28;6;4;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1135.8942672;1
28;3;2;3;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;1156.2702981;1
26;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;No;Hermano(a) o hermanastro(a);Femenino;ANTIOQUIA;1195.0907995;1
27;3;1;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1034.6037393;1
25;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Basica primaria (1o - 5o);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1015.0739932;1
19;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Femenino;ANTIOQUIA;1015.0739932;1
24;2;1;2;En usufructo;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo;Basica primaria (1o - 5o);No;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;1200.1554042;1
27;2;2;4;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;5334.0743576;1
20;2;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;3481.8124285;1
25;3;2;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Fallecida;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;781.43146572;1
21;3;2;3;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;3396.2423133;1
23;2;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;724.07565864;1
25;5;3;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio - Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;633.95351358;1
24;4;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Tecnica profesional;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;705.79964757;1
25;4;2;3;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;756.14061015;1
22;3;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Femenino;ANTIOQUIA;773.38970912;1
26;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta separado (a) o divorciado (a);Mujeres;Bajo;Basica secundaria (6o - 9o);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;747.84189347;1
27;4;3;4;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;688.67755789;1
24;4;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;737.33801223;1
24;4;3;6;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Medio;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;766.61577659;1
26;4;2;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio;Universitaria;No;Jefe (a) del hogar;Femenino;ANTIOQUIA;875.13336579;1
27;3;3;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;5168.3441512;1
22;6;4;5;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;579.46481558;1
18;6;4;5;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;ANTIOQUIA;579.46481558;0
26;3;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;4399.7913489;1
20;3;3;4;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta casado(a) y vive en pareja  hace  menos de dos anos;Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Femenino;ANTIOQUIA;2261.3442511;1
20;3;2;4;En usufructo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Basica primaria (1o - 5o);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;5196.2548999;0
21;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Tecnica profesional;No;Jefe (a) del hogar;Femenino;ANTIOQUIA;2059.1907768;1
26;2;1;2;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Pareja, esposo(a), conyuge, companero(a);Masculino;ANTIOQUIA;2059.1907768;1
27;1;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ANTIOQUIA;1795.6023992;1
21;3;2;3;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Masculino;ANTIOQUIA;1124.6047175;0
21;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;ATLANTICO;579.27438062;0
25;6;5;5;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta casado (a);Hombres;Medio;Universitaria;No;Otro pariente;Femenino;ATLANTICO;696.22830267;1
25;1;1;1;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio;Universitaria;No;Jefe (a) del hogar;Femenino;ATLANTICO;685.67584691;1
25;8;6;7;En usufructo;Ninguno de los anteriores;Mujer;Esta soltero (a);Hombres;Medio - Alto;Universitaria;Si;Otro pariente;Femenino;ATLANTICO;383.17577908;1
25;4;3;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta soltero (a);Mujeres;Medio;Universitaria;Si;Hijo(a), hijastro(a);Masculino;ATLANTICO;563.00939429;0
23;3;2;7;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;No esta casado(a) y vive en pareja  hace  menos de dos anos;Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);Fallecida;Hijo(a), hijastro(a);Masculino;ATLANTICO;613.63351525;1
22;3;2;4;Propia, totalmente pagada;Ninguno de los anteriores;Mujer;Esta casado (a);Hombres;Bajo - Bajo;Tecnologica ;Si;Hijo(a), hijastro(a);Femenino;ATLANTICO;586.67919258;1
27;3;2;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta casado (a);Mujeres;Bajo - Bajo;Tecnologica ;No;Otro pariente;Masculino;ATLANTICO;586.67919258;1
24;4;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Media academica (Bachillerato clasico);Si;Hijo(a), hijastro(a);Femenino;ATLANTICO;684.8123176;1
18;3;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Mujer;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Hombres;Bajo - Bajo;Basica primaria (1o - 5o);Si;Hijo(a), hijastro(a);Femenino;ATLANTICO;551.63727955;1
23;3;2;5;En arriendo o subarriendo;Ninguno de los anteriores;Hombre;No esta  casado (a)  y vive en pareja   hace dos anos  o mas;Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Otro pariente;Masculino;ATLANTICO;551.63727955;0
27;3;1;4;Propia, totalmente pagada;Ninguno de los anteriores;Hombre;Esta casado (a);Mujeres;Bajo - Bajo;Media academica (Bachillerato clasico);No;Jefe (a) del hogar;Masculino;ATLANTICO;586.21707581;1
